"GEOID","king_county","RPL_THEMES_QUARTILE_WA","RPL_THEMES_QUARTILE_KC","PED3_16_20","PFAMINCGE125K16_20","PPROF16_20","AFFLUENCE16_20_armcreate","affluence_quartile_WA","affluence_quartile_KC","perc_burden_gte30_quartile_WA","perc_burden_gte30_quartile_KC","perc_renter_quartile_WA","perc_renter_quartile_KC","perc_lt150poverty_quartile_WA","perc_lt150poverty_quartile_KC","medianincome_quartile_WA","medianincome_quartile_KC","perc_unemployed_quartile_WA","perc_unemployed_quartile_KC","perc_novehicle_quartile_WA","perc_novehicle_quartile_KC"
53009000700,FALSE,4,NA,0.231562256813,0.1425855457783,0.3147792816162,0.2296423614025,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,2,NA
53009000800,FALSE,3,NA,0.2031511962414,0.0502673797309,0.3358123600483,0.196410312006867,4,NA,3,NA,3,NA,3,NA,4,NA,4,NA,3,NA
53009000900,FALSE,3,NA,0.2758964002132,0.118644066155,0.3695652186871,0.254701895018433,3,NA,4,NA,3,NA,3,NA,4,NA,3,NA,4,NA
53009001000,FALSE,4,NA,0.2642566263676,0.1065292060375,0.2276785671711,0.199488133192067,4,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA
53009001100,FALSE,3,NA,0.3936127722263,0.1844444423914,0.4172510504723,0.331769421696667,2,NA,4,NA,4,NA,4,NA,4,NA,2,NA,4,NA
53009001200,FALSE,3,NA,0.3325906991959,0.269743591547,0.2946891188622,0.2990078032017,3,NA,4,NA,3,NA,4,NA,4,NA,2,NA,2,NA
53009001300,FALSE,2,NA,0.2026096433401,0.1268403232098,0.1924686133862,0.1739728599787,4,NA,2,NA,1,NA,3,NA,4,NA,4,NA,3,NA
53009001400,FALSE,2,NA,0.4045745134354,0.2943100035191,0.4663236737251,0.388402730226533,2,NA,2,NA,1,NA,3,NA,3,NA,3,NA,1,NA
53009001500,FALSE,3,NA,0.3070824444294,0.1897233277559,0.4230769276619,0.306627566615733,3,NA,1,NA,2,NA,2,NA,3,NA,4,NA,2,NA
53009001600,FALSE,2,NA,0.2728658616543,0.1827842742205,0.3525252640247,0.2693917999665,3,NA,2,NA,1,NA,4,NA,4,NA,4,NA,1,NA
53009001701,FALSE,1,NA,0.0994117632508,0.3150105476379,0.377070069313,0.263830793400567,3,NA,3,NA,2,NA,4,NA,4,NA,2,NA,2,NA
53009001702,FALSE,1,NA,0.3158102631569,0.1520236879587,0.5531250238419,0.340319658319167,2,NA,1,NA,1,NA,2,NA,4,NA,1,NA,2,NA
53009001800,FALSE,2,NA,0.2981079816818,0.2433983981609,0.3637254834175,0.301743954420067,3,NA,2,NA,2,NA,3,NA,4,NA,2,NA,1,NA
53009001901,FALSE,1,NA,0.4409210979939,0.3572815656662,0.3156779706478,0.3712935447693,2,NA,1,NA,1,NA,2,NA,2,NA,2,NA,1,NA
53009001902,FALSE,1,NA,0.3977519869804,0.2422779947519,0.3755615353584,0.3385305056969,2,NA,1,NA,2,NA,1,NA,3,NA,4,NA,2,NA
53009002001,FALSE,2,NA,0.2545918226242,0.1407035142183,0.4024390280247,0.265911454955733,3,NA,3,NA,2,NA,2,NA,4,NA,2,NA,4,NA
53009002002,FALSE,3,NA,0.4420719742775,0.3073728084564,0.3433242440224,0.3642563422521,2,NA,3,NA,3,NA,2,NA,3,NA,4,NA,3,NA
53009002100,FALSE,4,NA,0.2010309249163,0.083550915122,0.2072936594486,0.163958499828967,4,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA
53009002301,FALSE,2,NA,0.2872832417488,0.0581583194435,0.2377179116011,0.194386490931133,4,NA,3,NA,1,NA,3,NA,4,NA,3,NA,2,NA
53009002302,FALSE,1,NA,0.3971103429794,0.2316076159477,0.4293478131294,0.3526885906855,2,NA,3,NA,1,NA,3,NA,3,NA,4,NA,1,NA
53009002400,FALSE,4,NA,0.1464354544878,0.1202898547053,0.3205928206444,0.195772709945833,4,NA,1,NA,2,NA,3,NA,4,NA,4,NA,3,NA
53009940000,FALSE,4,NA,0.1513859331608,0.1307901889086,0.3701298832893,0.217435335119567,4,NA,1,NA,2,NA,4,NA,4,NA,4,NA,4,NA
53009990100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53011040101,FALSE,2,NA,0.2135135084391,0.3083636462688,0.3119307756424,0.277935976783433,3,NA,2,NA,1,NA,2,NA,3,NA,3,NA,2,NA
53011040102,FALSE,2,NA,0.1709006875753,0.2660944163799,0.271453589201,0.2361495643854,3,NA,2,NA,1,NA,2,NA,3,NA,3,NA,2,NA
53011040201,FALSE,2,NA,0.2456641495228,0.4676113128662,0.2993288636208,0.3375347753366,2,NA,1,NA,1,NA,1,NA,3,NA,2,NA,2,NA
53011040202,FALSE,2,NA,0.2210899442434,0.3144841194153,0.3868715167046,0.3074818601211,3,NA,2,NA,1,NA,2,NA,2,NA,2,NA,1,NA
53011040203,FALSE,1,NA,0.2857991755009,0.3556630015373,0.4431500434875,0.3615374068419,2,NA,1,NA,1,NA,1,NA,2,NA,2,NA,2,NA
53011040301,FALSE,1,NA,0.3553299605846,0.5166340470314,0.3985581994057,0.423507402340567,2,NA,1,NA,1,NA,2,NA,2,NA,3,NA,3,NA
53011040303,FALSE,1,NA,0.3737531304359,0.3949652910233,0.3760384917259,0.381585637728367,2,NA,2,NA,1,NA,1,NA,1,NA,3,NA,4,NA
53011040304,FALSE,1,NA,0.4155844151974,0.6172248721123,0.4981718361378,0.510327041149167,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA
53011040305,FALSE,1,NA,0.2172413766384,0.2368045598269,0.3992125988007,0.284419511755333,3,NA,2,NA,3,NA,1,NA,2,NA,1,NA,1,NA
53011040403,FALSE,1,NA,0.2206605821848,0.2923211157322,0.3464741706848,0.286485289533933,3,NA,3,NA,1,NA,2,NA,2,NA,2,NA,2,NA
53011040407,FALSE,2,NA,0.2139726728201,0.2074498534203,0.3581538498402,0.259858792026867,3,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2,NA
53011040408,FALSE,2,NA,0.3448402583599,0.4084136784077,0.4826923012733,0.411982079346967,2,NA,1,NA,1,NA,1,NA,2,NA,4,NA,1,NA
53011040409,FALSE,1,NA,0.4046537876129,0.3764204382896,0.4434250891209,0.408166438341133,2,NA,2,NA,1,NA,1,NA,2,NA,2,NA,1,NA
53011040411,FALSE,3,NA,0.3612440228462,0.2649122774601,0.5463917255402,0.390849341948833,2,NA,4,NA,4,NA,3,NA,2,NA,2,NA,4,NA
53011040412,FALSE,2,NA,0.4183501601219,0.3993310928345,0.5102947354317,0.442658662796033,2,NA,3,NA,2,NA,2,NA,2,NA,3,NA,1,NA
53011040413,FALSE,3,NA,0.1874679028988,0.2040050029755,0.2779573500156,0.223143418629967,4,NA,3,NA,3,NA,4,NA,3,NA,2,NA,3,NA
53011040414,FALSE,2,NA,0.3198992311954,0.2784880399704,0.4131501615047,0.3371791442235,2,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2,NA
53011040415,FALSE,3,NA,0.2364500761032,0.1530278325081,0.3273986279964,0.2389588455359,3,NA,2,NA,2,NA,3,NA,2,NA,2,NA,2,NA
53011040416,FALSE,1,NA,0.343215495348,0.4034141898155,0.3704337775707,0.372354487578067,2,NA,1,NA,1,NA,2,NA,2,NA,2,NA,1,NA
53011040504,FALSE,1,NA,0.2719274163246,0.3953858315945,0.4191137254238,0.362142324447633,2,NA,3,NA,1,NA,1,NA,2,NA,4,NA,1,NA
53011040505,FALSE,1,NA,0.3523008525372,0.5327771306038,0.4237995743752,0.436292519172067,2,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2,NA
