"GEOID","king_county","RPL_THEMES","RPL_THEMES_USA","RPL_THEMES_QUARTILE_WA","RPL_THEMES_QUARTILE_KC","AFFLUENCE16_20","PED3_16_20","PFAMINCGE125K16_20","PPROF16_20","AFFLUENCE16_20_armcreate","affluence_quartile_WA","affluence_quartile_KC","perc_burden_gte30","perc_burden_gte30_quartile_WA","perc_burden_gte30_quartile_KC","perc_renter","perc_renter_quartile_WA","perc_renter_quartile_KC","perc_lt150poverty","perc_lt150poverty_quartile_WA","perc_lt150poverty_quartile_KC","medianincome","medianincome_quartile_WA","medianincome_quartile_KC","perc_unemployed","perc_unemployed_quartile_WA","perc_unemployed_quartile_KC","perc_novehicle","perc_novehicle_quartile_WA","perc_novehicle_quartile_KC"
53043960200,FALSE,0.401,0.3523,2,NA,0.2935900390148,0.2578125,0.2047477662563,0.4182098805904,0.2935900489489,3,NA,20.5838323353293,1,NA,15.1926040061633,1,NA,25.7627118644068,4,NA,32643,3,NA,5.67685589519651,3,NA,2.39520958083832,2,NA
53043960300,FALSE,0.4779,0.466,2,NA,0.3212498426437,0.2210849523544,0.2623152732849,0.4803493320942,0.321249852577833,3,NA,16.5784832451499,1,NA,17.7914110429448,1,NA,11.8709181713408,2,NA,34362,3,NA,3.45699831365936,2,NA,2.29276895943563,2,NA
53043960400,FALSE,0.5119,0.4805,3,NA,0.2770229876041,0.2570560276508,0.1527936160564,0.4212193191051,0.2770229876041,3,NA,21.5262778977682,1,NA,21.9396405561207,2,NA,21.8856364874064,3,NA,28394,4,NA,2.24458204334365,1,NA,2.87976961843053,2,NA
53045940000,FALSE,0.8518,0.798,4,NA,0.1759236752987,0.1731601804495,0.088235296309,0.266375541687,0.175923672815167,4,NA,14.6666666666667,1,NA,29.6246648793566,2,NA,38.0888290713324,4,NA,23864,4,NA,24.1721854304636,4,NA,4.44444444444444,3,NA
53045960100,FALSE,0.1957,0.1828,1,NA,0.2520858943462,0.1959247589111,0.2401574701071,0.3201754391193,0.252085889379167,3,NA,17.4386920980926,1,NA,3.27868852459016,1,NA,10.8792846497765,2,NA,34063,3,NA,3.79746835443038,2,NA,0,1,NA
53045960201,FALSE,0.3925,0.3561,2,NA,0.0856247842312,0.0618311539292,0.0404040403664,0.1546391695738,0.0856247879564667,4,NA,53.7823834196891,4,NA,13.6543909348442,1,NA,11.671388101983,2,NA,32031,3,NA,12.6126126126126,4,NA,0,1,NA
53045960202,FALSE,0.4265,0.4096,2,NA,0.2261532694101,0.1501426547766,0.1666666716337,0.3616504967213,0.2261532743772,4,NA,31.6677482154445,3,NA,16.7527875985858,1,NA,22.7087299428882,3,NA,30444,4,NA,20.5144694533762,4,NA,0.584036340038936,1,NA
53045960301,FALSE,0.129,0.1196,1,NA,0.16227863729,0.1716500520706,0.2227074205875,0.0924784243107,0.162278632322933,4,NA,16.3244353182752,1,NA,10.1679527916478,1,NA,13.708579210168,2,NA,31397,3,NA,0,1,NA,0,1,NA
53045960302,FALSE,0.5328,0.4692,3,NA,0.1874718219042,0.1367300003767,0.1394148021936,0.2862706780434,0.187471826871233,4,NA,35.7510288065844,3,NA,24.1058799757527,2,NA,23.6007274196807,4,NA,30272,4,NA,4.55390334572491,3,NA,0,1,NA
53045960401,FALSE,0.6555,0.6034,3,NA,0.2602945566177,0.1567895412445,0.2592829763889,0.3648111224174,0.2602945466836,3,NA,32.3393316195373,3,NA,23.1325301204819,2,NA,13.9049394221808,2,NA,30426,4,NA,3.73205741626794,2,NA,6.27249357326478,3,NA
