"GEOID","king_county"
"53001950100",FALSE
"53001950200",FALSE
"53001950301",FALSE
"53001950302",FALSE
"53001950303",FALSE
"53001950400",FALSE
"53001950500",FALSE
"53003960100",FALSE
"53003960200",FALSE
"53003960300",FALSE
"53003960400",FALSE
"53003960500",FALSE
"53003960600",FALSE
"53005010100",FALSE
"53005010201",FALSE
"53005010203",FALSE
"53005010204",FALSE
"53005010300",FALSE
"53005010400",FALSE
"53005010500",FALSE
"53005010600",FALSE
"53005010701",FALSE
"53005010703",FALSE
"53005010705",FALSE
"53005010707",FALSE
"53005010708",FALSE
"53005010807",FALSE
"53005010809",FALSE
"53005010810",FALSE
"53005010811",FALSE
"53005010814",FALSE
"53005010815",FALSE
"53005010816",FALSE
"53005010817",FALSE
"53005010818",FALSE
"53005010819",FALSE
"53005010820",FALSE
"53005010901",FALSE
"53005010902",FALSE
"53005011001",FALSE
"53005011002",FALSE
"53005011100",FALSE
"53005011201",FALSE
"53005011202",FALSE
"53005011300",FALSE
"53005011401",FALSE
"53005011402",FALSE
"53005011501",FALSE
"53005011504",FALSE
"53005011505",FALSE
"53005011506",FALSE
"53005011600",FALSE
"53005011701",FALSE
"53005011702",FALSE
"53005011801",FALSE
"53005011802",FALSE
"53005011900",FALSE
"53005012000",FALSE
"53007960100",FALSE
"53007960201",FALSE
"53007960202",FALSE
"53007960203",FALSE
"53007960301",FALSE
"53007960302",FALSE
"53007960303",FALSE
"53007960400",FALSE
"53007960501",FALSE
"53007960502",FALSE
"53007960600",FALSE
"53007960700",FALSE
"53007960801",FALSE
"53007960803",FALSE
"53007960804",FALSE
"53007961001",FALSE
"53007961002",FALSE
"53007961101",FALSE
"53007961102",FALSE
"53007961200",FALSE
"53007961301",FALSE
"53007961303",FALSE
"53007961304",FALSE
"53009000300",FALSE
"53009000600",FALSE
"53009000700",FALSE
"53009000800",FALSE
"53009000900",FALSE
"53009001000",FALSE
"53009001100",FALSE
"53009001200",FALSE
"53009001300",FALSE
"53009001400",FALSE
"53009001500",FALSE
"53009001600",FALSE
"53009001701",FALSE
"53009001702",FALSE
"53009001800",FALSE
"53009001901",FALSE
"53009001902",FALSE
"53009002001",FALSE
"53009002002",FALSE
"53009002100",FALSE
"53009002301",FALSE
"53009002302",FALSE
"53009002400",FALSE
"53009940000",FALSE
"53009990100",FALSE
"53011040101",FALSE
"53011040102",FALSE
"53011040201",FALSE
"53011040202",FALSE
"53011040203",FALSE
"53011040301",FALSE
"53011040303",FALSE
"53011040304",FALSE
"53011040305",FALSE
"53011040403",FALSE
"53011040407",FALSE
"53011040408",FALSE
"53011040409",FALSE
"53011040411",FALSE
"53011040412",FALSE
"53011040413",FALSE
"53011040414",FALSE
"53011040415",FALSE
"53011040416",FALSE
"53011040504",FALSE
"53011040505",FALSE
"53011040507",FALSE
"53011040509",FALSE
"53011040510",FALSE
"53011040511",FALSE
"53011040512",FALSE
"53011040513",FALSE
"53011040603",FALSE
"53011040604",FALSE
"53011040605",FALSE
"53011040608",FALSE
"53011040609",FALSE
"53011040610",FALSE
"53011040703",FALSE
"53011040706",FALSE
"53011040707",FALSE
"53011040709",FALSE
"53011040711",FALSE
"53011040712",FALSE
"53011040713",FALSE
"53011040714",FALSE
"53011040715",FALSE
"53011040803",FALSE
"53011040806",FALSE
"53011040808",FALSE
"53011040809",FALSE
"53011040810",FALSE
"53011040811",FALSE
"53011040812",FALSE
"53011040904",FALSE
"53011040905",FALSE
"53011040907",FALSE
"53011040908",FALSE
"53011040909",FALSE
"53011040910",FALSE
"53011041003",FALSE
"53011041005",FALSE
"53011041007",FALSE
"53011041008",FALSE
"53011041009",FALSE
"53011041010",FALSE
"53011041011",FALSE
"53011041104",FALSE
"53011041105",FALSE
"53011041107",FALSE
"53011041110",FALSE
"53011041111",FALSE
"53011041112",FALSE
"53011041113",FALSE
"53011041114",FALSE
"53011041203",FALSE
"53011041205",FALSE
"53011041206",FALSE
"53011041207",FALSE
"53011041208",FALSE
"53011041309",FALSE
"53011041310",FALSE
"53011041312",FALSE
"53011041313",FALSE
"53011041317",FALSE
"53011041319",FALSE
"53011041320",FALSE
"53011041321",FALSE
"53011041322",FALSE
"53011041323",FALSE
"53011041325",FALSE
"53011041326",FALSE
"53011041328",FALSE
"53011041329",FALSE
"53011041330",FALSE
"53011041331",FALSE
"53011041332",FALSE
"53011041333",FALSE
"53011041334",FALSE
"53011041335",FALSE
"53011041336",FALSE
"53011041337",FALSE
"53011041400",FALSE
"53011041500",FALSE
"53011041600",FALSE
"53011041700",FALSE
"53011041800",FALSE
"53011041900",FALSE
"53011042000",FALSE
"53011042100",FALSE
"53011042300",FALSE
"53011042400",FALSE
"53011042500",FALSE
"53011042601",FALSE
"53011042602",FALSE
"53011042700",FALSE
"53011042800",FALSE
"53011042900",FALSE
"53011043000",FALSE
"53011043100",FALSE
"53013960200",FALSE
"53015000400",FALSE
"53015000501",FALSE
"53015000502",FALSE
"53015000601",FALSE
"53015000602",FALSE
"53015000702",FALSE
"53015000703",FALSE
"53015000705",FALSE
"53015000706",FALSE
"53015000801",FALSE
"53015000802",FALSE
"53015000901",FALSE
"53015000902",FALSE
"53015001000",FALSE
"53015001100",FALSE
"53015001200",FALSE
"53015001300",FALSE
"53015001501",FALSE
"53015001503",FALSE
"53015001504",FALSE
"53015001601",FALSE
"53015001602",FALSE
"53015001700",FALSE
"53015001800",FALSE
"53015001900",FALSE
"53015002001",FALSE
"53015002003",FALSE
"53015002004",FALSE
"53015002100",FALSE
"53015980000",FALSE
"53017950101",FALSE
"53017950102",FALSE
"53017950200",FALSE
"53017950300",FALSE
"53017950400",FALSE
"53017950500",FALSE
"53017950600",FALSE
"53017950700",FALSE
"53017950800",FALSE
"53019940000",FALSE
"53019970100",FALSE
"53019970200",FALSE
"53021020101",FALSE
"53021020102",FALSE
"53021020103",FALSE
"53021020201",FALSE
"53021020202",FALSE
"53021020300",FALSE
"53021020401",FALSE
"53021020402",FALSE
"53021020403",FALSE
"53021020404",FALSE
"53021020501",FALSE
"53021020503",FALSE
"53021020504",FALSE
"53021020603",FALSE
"53021020605",FALSE
"53021020606",FALSE
"53021020607",FALSE
"53021020608",FALSE
"53021020700",FALSE
"53021020801",FALSE
"53021020802",FALSE
"53021980100",FALSE
"53023970300",FALSE
"53025010100",FALSE
"53025010200",FALSE
"53025010300",FALSE
"53025010401",FALSE
"53025010402",FALSE
"53025010500",FALSE
"53025010600",FALSE
"53025010700",FALSE
"53025010800",FALSE
"53025010901",FALSE
"53025010903",FALSE
"53025010904",FALSE
"53025011001",FALSE
"53025011002",FALSE
"53025011101",FALSE
"53025011102",FALSE
"53025011200",FALSE
"53025011300",FALSE
"53025011401",FALSE
"53025011403",FALSE
"53025011404",FALSE
"53025011405",FALSE
"53025011406",FALSE
"53027000201",FALSE
"53027000202",FALSE
"53027000300",FALSE
"53027000401",FALSE
"53027000402",FALSE
"53027000501",FALSE
"53027000502",FALSE
"53027000600",FALSE
"53027000700",FALSE
"53027000800",FALSE
"53027000900",FALSE
"53027001000",FALSE
"53027001100",FALSE
"53027001200",FALSE
"53027001300",FALSE
"53027001400",FALSE
"53027001500",FALSE
"53027001601",FALSE
"53027001602",FALSE
"53027940000",FALSE
"53027990000",FALSE
"53029970100",FALSE
"53029970200",FALSE
"53029970300",FALSE
"53029970401",FALSE
"53029970402",FALSE
"53029970500",FALSE
"53029970601",FALSE
"53029970602",FALSE
"53029970700",FALSE
"53029970800",FALSE
"53029970900",FALSE
"53029971000",FALSE
